"REF_DATE","GEO","DGUID","Building Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-05","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","109.5","","","","1"
"2024-06","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","109.6","","","","1"
"2024-07","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","110.4","","","","1"
"2024-08","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","110.2","","","","1"
"2024-09","Canada","2016A000011124","Total, building type","2019=100","401","units","0","v1210497010","1.1","110.3","","","","1"
"2024-05","Canada","2016A000011124","Office buildings","2019=100","401","units","0","v1210497037","1.2","106.4","","","","1"
"2024-06","Canada","2016A000011124","Office buildings","2019=100","401","units","0","v1210497037","1.2","106.5","","","","1"
"2024-07","Canada","2016A000011124","Office buildings","2019=100","401","units","0","v1210497037","1.2","106.5","","","","1"
"2024-08","Canada","2016A000011124","Office buildings","2019=100","401","units","0","v1210497037","1.2","106.5","","","","1"
"2024-09","Canada","2016A000011124","Office buildings","2019=100","401","units","0","v1210497037","1.2","106.7","","","","1"
"2024-05","Canada","2016A000011124","Retail buildings","2019=100","401","units","0","v1210497048","1.3","105.7","","","","1"
"2024-06","Canada","2016A000011124","Retail buildings","2019=100","401","units","0","v1210497048","1.3","106.2","","","","1"
"2024-07","Canada","2016A000011124","Retail buildings","2019=100","401","units","0","v1210497048","1.3","106.8","","","","1"
"2024-08","Canada","2016A000011124","Retail buildings","2019=100","401","units","0","v1210497048","1.3","106.7","","","","1"
"2024-09","Canada","2016A000011124","Retail buildings","2019=100","401","units","0","v1210497048","1.3","107.1","","","","1"
"2024-05","Canada","2016A000011124","Industrial buildings and warehouses","2019=100","401","units","0","v1210497059","1.4","116.0","","","","1"
"2024-06","Canada","2016A000011124","Industrial buildings and warehouses","2019=100","401","units","0","v1210497059","1.4","116.0","","","","1"
"2024-07","Canada","2016A000011124","Industrial buildings and warehouses","2019=100","401","units","0","v1210497059","1.4","117.3","","","","1"
"2024-08","Canada","2016A000011124","Industrial buildings and warehouses","2019=100","401","units","0","v1210497059","1.4","116.9","","","","1"
"2024-09","Canada","2016A000011124","Industrial buildings and warehouses","2019=100","401","units","0","v1210497059","1.4","116.7","","","","1"


